Servicio Meteorológico Nacional
Red: SMN
Estación: SANQUINTIN
Estado: Baja California
Municipio: Ensenada
Latitud (N): 30.53166667
Longitud (O): -115.8375
Altitud: 32

Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²),
2023-04-02 23:00:00,2023-04-03 05:00:00,323.0,329.0,13.1,20.9,12.7,89,1013.7,0,0,
2023-04-02 22:50:00,2023-04-03 04:50:00,322.0,329.0,12.4,21.2,12.7,89,1013.7,0,0,
2023-04-02 22:40:00,2023-04-03 04:40:00,331.0,337.0,10.7,18.4,12.7,89,1013.7,0,0,
2023-04-02 22:30:00,2023-04-03 04:30:00,332.0,342.0,12.5,20.9,12.7,89,1013.6,0,0,
2023-04-02 22:20:00,2023-04-03 04:20:00,327.0,340.0,14.5,23.4,12.7,89,1013.5,0,0,
2023-04-02 22:10:00,2023-04-03 04:10:00,323.0,319.0,12.2,18.4,12.7,89,1013.5,0,0,
2023-04-02 22:00:00,2023-04-03 04:00:00,326.0,346.0,13.4,22.3,12.7,90,1013.4,0,0,
2023-04-02 21:50:00,2023-04-03 03:50:00,329.0,326.0,12.5,20.2,12.6,90,1013.3,0,0,
2023-04-02 21:40:00,2023-04-03 03:40:00,327.0,332.0,12.6,18.4,12.5,91,1013.3,0,0,
2023-04-02 21:30:00,2023-04-03 03:30:00,331.0,324.0,15.6,24.8,12.4,92,1013.2,0,0,
2023-04-02 21:20:00,2023-04-03 03:20:00,328.0,338.0,12.2,21.2,12.4,94,1013.2,0,0,
2023-04-02 21:10:00,2023-04-03 03:10:00,319.0,331.0,12.1,21.2,12.3,93,1013.2,0,0,
2023-04-02 21:00:00,2023-04-03 03:00:00,320.0,325.0,11.9,19.8,12.3,93,1013.2,0,0,
2023-04-02 20:50:00,2023-04-03 02:50:00,320.0,316.0,12.6,19.8,12.3,93,1013.1,0,0,
2023-04-02 20:40:00,2023-04-03 02:40:00,317.0,317.0,13.6,21.6,12.4,92,1013.1,0,0,
2023-04-02 20:30:00,2023-04-03 02:30:00,318.0,312.0,11.7,19.8,12.5,90,1013.2,0,0,
2023-04-02 20:20:00,2023-04-03 02:20:00,315.0,315.0,14,20.9,12.7,89,1013.2,0,0,
2023-04-02 20:10:00,2023-04-03 02:10:00,319.0,312.0,13,21.2,12.9,87,1013.3,0,0,
2023-04-02 20:00:00,2023-04-03 02:00:00,319.0,298.0,13.5,23,13.2,86,1013.3,0,0,
2023-04-02 19:50:00,2023-04-03 01:50:00,316.0,314.0,16,26.3,13.5,84,1013.3,0,6,
2023-04-02 19:40:00,2023-04-03 01:40:00,320.0,306.0,16.3,28.8,13.8,82,1013.4,0,32,
2023-04-02 19:30:00,2023-04-03 01:30:00,322.0,315.0,14.9,22,14.1,81,1013.5,0,64,
2023-04-02 19:20:00,2023-04-03 01:20:00,315.0,321.0,17.3,25.9,14.4,78,1013.5,0,98,
2023-04-02 19:10:00,2023-04-03 01:10:00,313.0,313.0,15.6,25.2,14.8,76,1013.5,0,135,
2023-04-02 19:00:00,2023-04-03 01:00:00,319.0,301.0,15.5,23.8,15,75,1013.5,0,173,
2023-04-02 18:50:00,2023-04-03 00:50:00,320.0,312.0,16.4,26.6,15.1,74,1013.6,0,215,
2023-04-02 18:40:00,2023-04-03 00:40:00,318.0,299.0,17.4,29.9,15.4,72,1013.7,0,257,
2023-04-02 18:30:00,2023-04-03 00:30:00,317.0,298.0,15.1,27.7,15.5,71,1013.7,0,300,
2023-04-02 18:20:00,2023-04-03 00:20:00,313.0,301.0,18.1,27.7,15.6,71,1013.8,0,342,
2023-04-02 18:10:00,2023-04-03 00:10:00,315.0,293.0,15.8,23,15.9,69,1013.9,0,385,
2023-04-02 18:00:00,2023-04-03 00:00:00,316.0,294.0,17.1,26.3,15.9,69,1014,0,428,
2023-04-02 17:50:00,2023-04-02 23:50:00,325.0,305.0,16.6,27,15.9,68,1014,0,471,
2023-04-02 17:40:00,2023-04-02 23:40:00,309.0,298.0,19.4,29.5,15.9,69,1014.1,0,509,
2023-04-02 17:30:00,2023-04-02 23:30:00,311.0,297.0,19.1,27.7,16.1,67,1014.1,0,551,
2023-04-02 17:20:00,2023-04-02 23:20:00,313.0,295.0,18.3,28.8,16.2,67,1014.2,0,591,
2023-04-02 17:10:00,2023-04-02 23:10:00,303.0,295.0,20.1,28.8,16.3,66,1014.3,0,632,
2023-04-02 17:00:00,2023-04-02 23:00:00,317.0,340.0,17.8,25.2,16.5,65,1014.5,0,661,
